estacion,linea,betweenness_demanda_actual,betweenness,closeness,score_central
Rivadavia,I,0.08829676071055383,0.11435574229691875,0.0447427293064877,47.2
Tucumán y Callao,F,0.08241901776384537,0.1645658263305322,0.06176016469377252,1.4
Corrientes,I,0.08228840125391851,0.10478524743230624,0.04691164972634871,41.4
Congreso,F,0.07641065830721006,0.13874883286647988,0.0606366851945427,5.4
Warnes,I,0.06138975966562174,0.07551353874883288,0.04583651642475172,60.8
Díaz Vélez,I,0.06138975966562174,0.10249766573295986,0.045784051888592144,50.4
Aranguren,I,0.06138975966562174,0.0946311858076564,0.04492699363534257,58.8
Pedro Goyena,I,0.055120167189132714,0.06363211951447245,0.04291845493562232,72.2
Directorio,I,0.055120167189132714,0.05861344537815127,0.04172461752433936,75.8
Córdoba,I,0.05329153605015675,0.06281512605042017,0.04489337822671156,64.0
Serrano,I,0.05329153605015675,0.06181139122315594,0.0447260529258293,64.6
Costa Rica,I,0.05329153605015675,0.06076097105508871,0.04460966542750929,63.6
